Car_Truck,EngDisp,RatedHP,Transmission,Drive,Weight,Comp,AxleRatio,EVSpeedRatio,AC,PRP,FuelType,City_Highway,Valves_Cyl,FuelEcon
car,1.4912261,106,L4,F,1190.679,10.5,4.24,45.1,N,32,61,highway,4,4.82986823408624
car,1.802581,140,M5,F,1360.776,10.5,4.29,43.7,N,31,61,highway,4,4.8398062345679
car,1.4912261,109,M5,F,1247.378,10.4,4.29,48.3,N,31,61,highway,4,4.87997060165975
car,1.4912261,109,M5,F,1247.378,10.4,4.29,49.3,N,31,61,highway,4,4.87997060165975
car,2.3597424,147,AV,F,1814.368,12.5,3.54,22.1,N,1,23,highway,4,4.87997060165975
car,1.802581,140,M5,F,1360.776,10.5,4.29,43.7,N,31,61,highway,4,4.89011607068607
car,1.4912261,109,S5,F,1304.077,10.4,4.56,37.3,N,31,61,highway,4,4.93112333333333
car,1.6059358,110,L4,F,1304.077,10,4.04,51,N,1,61,highway,4,4.93112333333333
car,2.9824522,210,L7,R,1927.766,16.5,2.65,32.9,N,1,19,highway,6,4.98335980932203
car,1.6059358,120,S6,F,1304.077,11,4.1,40.9,Y,31,61,highway,4,4.9939401910828
car,1.6059358,103,M5,F,1304.077,9.5,3.84,41.1,Y,1,23,highway,4,4.9939401910828
car,1.9828391,136,M5,F,1360.776,10,3.82,42,Y,31,61,highway,4,5.00456559574468
car,1.9828391,136,M5,F,1360.776,10,3.82,42,Y,31,61,highway,4,5.00456559574468
car,2.1958714,145,M5,F,1360.776,10,3.84,38.1,N,32,61,highway,4,5.01523631130064
car,2.1958714,145,M5,F,1360.776,10,3.84,38.1,N,32,61,highway,4,5.03671483940043
car,1.802581,126,M5,F,1360.776,10,3.94,40,N,31,61,highway,4,5.04752324034335
car,1.802581,126,M5,F,1360.776,10,3.94,40,N,31,61,highway,4,5.04752324034335
car,1.6059358,175,M6,F,1360.776,10.5,3.65,42.5,Y,31,61,highway,4,5.06927980603448
car,1.9992262,140,AV,F,1474.174,9.7,5.41,29.8,N,31,61,highway,4,5.06927980603448
car,1.9828391,138,L4,F,1417.475,10.1,3.85,38.7,N,1,61,highway,4,5.08022857451404
car,1.802581,120,AV,F,1360.776,9.9,5.47,33.5,N,32,61,highway,4,5.10226861171367
car,1.9828391,132,L4,F,1417.475,10.1,3.85,38.7,N,1,61,highway,4,5.1133605
car,1.9828391,138,M5,F,1417.475,10.1,4.19,45.5,N,31,61,highway,4,5.1133605
car,2.4908392,175,M6,F,1530.873,9.6,3.81,34,N,31,61,highway,4,5.13568958515284
car,1.802581,120,AV,F,1417.475,9.9,5.47,33.5,N,31,61,highway,4,5.14692741794311
car,2.4908392,175,M6,F,1587.572,9.6,3.81,34,N,31,61,highway,4,5.18093795154185
car,2.9988393,253,L5,F,1757.669,10,4.38,31.1,N,31,61,highway,6,5.20386245575221
car,1.6059358,110,L4,F,1304.077,10,4.04,42,N,1,61,highway,4,5.20386245575221
car,1.9992262,145,M5,F,1417.475,10,4.1,43.7,N,31,61,highway,4,5.20386245575221
car,1.9992262,150,M5,F,1417.475,10,4.1,43.7,N,31,61,highway,4,5.20386245575221
car,1.9828391,136,L4,F,1360.776,10,3.73,38.9,Y,31,61,highway,4,5.21540095343681
car,1.9828391,136,L4,F,1360.776,10,3.73,38.9,Y,31,61,highway,4,5.21540095343681
car,1.6059358,175,M6,F,1360.776,10.5,3.65,42.5,Y,31,61,highway,4,5.22699073333333
car,1.6059358,110,M5,F,1247.378,10,4.06,51,N,31,61,highway,4,5.22699073333333
car,1.9992262,145,M5,F,1417.475,10,4.1,43.5,N,31,61,highway,4,5.22699073333333
car,1.9992262,150,M5,F,1417.475,10,4.1,43.5,N,31,61,highway,4,5.22699073333333
car,1.6059358,114,M5,F,1360.776,10.6,4.35,50,Y,31,61,highway,4,5.23863213808463
car,1.6059358,110,M5,F,1247.378,10,4.06,42,N,31,61,highway,4,5.23863213808463
car,1.802581,120,L4,F,1360.776,9.9,4.07,40.7,N,31,61,highway,4,5.23863213808463
car,1.9828391,138,L4,F,1417.475,10.1,3.85,40,N,31,61,highway,4,5.26207120805369
car,1.9828391,132,L4,F,1417.475,10.1,3.85,40,N,31,61,highway,4,5.26207120805369
car,2.3597424,147,AV,F,1814.368,12.5,3.54,22.1,N,1,23,city,4,5.26207120805369
car,1.802581,126,M5,F,1360.776,10,3.94,39.2,N,1,23,highway,4,5.28572096629213
car,2.3597424,155,L5,F,1587.572,9.8,3.39,31.8,N,31,61,highway,4,5.29762574324324
car,1.6059358,175,S6,F,1360.776,10.5,3.68,35,Y,31,61,highway,4,5.30958426636569
car,1.9828391,132,L4,F,1474.174,10.1,3.85,40,N,31,61,highway,4,5.30958426636569
car,1.802581,120,M6,F,1360.776,9.9,3.93,45.7,N,31,61,highway,4,5.32159690045249
car,1.6059358,103,A4,F,1304.077,9.5,3.84,41.1,Y,1,23,highway,4,5.34578597727273
car,1.6059358,110,M5,F,1304.077,10,4.06,51,N,31,61,highway,4,5.35796316628702
car,1.9828391,138,L4,F,1474.174,10.1,3.85,40,N,1,61,highway,4,5.35796316628702
car,1.6059358,110,M5,F,1304.077,10,4.06,42,N,31,61,highway,4,5.37019595890411
car,2.3597424,155,L5,F,1587.572,9.8,3.39,31.9,N,32,61,highway,4,5.37019595890411
car,2.3597424,147,AV,F,1814.368,12.5,3.54,22.1,N,1,23,city,4,5.37019595890411
car,1.802581,126,L4,F,1417.475,10,2.96,40.6,N,31,61,highway,4,5.37019595890411
car,1.802581,126,L4,F,1417.475,10,2.96,40.6,N,31,61,highway,4,5.37019595890411
car,2.3597424,162,M5,F,1644.271,10.5,3.25,42.5,N,31,61,highway,4,5.38248473684211
car,2.3761295,171,M5,F,1417.475,10,3.84,36.6,N,32,61,highway,4,5.3948298853211
car,2.1958714,145,L4,F,1530.873,10,3.63,33.6,N,31,61,highway,4,5.3948298853211
car,2.3597424,166,L5,F,1587.572,9.7,4.44,34.5,N,31,61,highway,4,5.3948298853211
car,2.3597424,162,M5,F,1587.572,10.5,3.25,43.2,N,31,61,highway,4,5.3948298853211
car,2.4908392,175,AV,F,1587.572,9.6,5.8,30.3,N,31,61,highway,4,5.3948298853211
car,1.9828391,200,M6,F,1700.97,10.5,3.75,34.6,N,31,61,highway,4,5.3948298853211
car,1.9992262,120,M5,F,1417.475,9.5,3.72,43.8,N,31,23,highway,4,5.40723179310345
car,2.3597424,162,L5,F,1587.572,10.5,3.31,33.2,N,1,61,highway,4,5.41969085253456
car,2.3597424,166,M5,F,1587.572,9.7,4.39,39.7,N,1,61,highway,4,5.4322074595843
car,1.9992262,140,M6,F,1474.174,9.7,3.93,42.2,N,31,61,highway,4,5.44478201388889
car,1.9992262,145,L4,F,1417.475,10,3.68,37.6,N,31,61,highway,4,5.44478201388889
car,1.9992262,150,L4,F,1417.475,10,3.68,37.6,N,31,61,highway,4,5.44478201388889
car,2.3597424,166,L5,F,1587.572,9.7,4.44,34.5,N,1,61,highway,4,5.4574149187935
car,2.3597424,158,M5,F,1644.271,9.8,3.94,38.5,N,31,61,highway,4,5.4574149187935
car,1.6059358,175,S6,F,1360.776,10.5,3.68,35,Y,31,61,highway,4,5.47010658139535
car,1.9992262,145,L4,F,1417.475,10,3.68,37.4,N,31,61,highway,4,5.47010658139535
car,1.9992262,150,L4,F,1417.475,10,3.68,37.4,N,31,61,highway,4,5.47010658139535
car,2.3597424,162,L4,F,1644.271,10.5,3.77,36.4,N,1,61,highway,4,5.4956678271028
car,2.4908392,170,AV,F,1587.572,9.6,5.8,30.3,N,1,23,highway,4,5.53446077647059
car,2.3597424,158,L5,F,1644.271,9.8,3.39,31.9,N,31,61,highway,4,5.53446077647059
car,1.9828391,138,M5,F,1417.475,10.1,3.84,46.4,N,31,61,highway,4,5.56062843971631
car,1.802581,126,L4,F,1417.475,10,2.96,39.8,N,31,61,highway,4,5.56062843971631
car,2.3597424,155,L5,F,1700.97,9.8,3.39,31.9,N,1,23,highway,4,5.57380528436019
car,1.9828391,138,M5,F,1474.174,10.1,3.84,46.4,N,31,61,highway,4,5.58704472684085
car,2.3597424,158,L5,F,1700.97,9.8,3.39,31.9,N,1,23,highway,4,5.60034721428571
car,1.6059358,114,AV,F,1360.776,10.6,4.05,36.8,Y,31,61,highway,4,5.61371319809069
car,2.3597424,150,L4,F,1644.271,10.5,2.69,34.7,Y,31,61,highway,4,5.62714313397129
car,2.3761295,172,L4,F,1644.271,10.4,3.91,35.6,N,32,61,highway,4,5.62714313397129
car,2.294194,156,M5,F,1474.174,9.7,4.1,43.5,N,31,61,highway,4,5.64063748201439
car,2.4908392,204,L6,R,1757.669,12,3.91,30.8,N,32,61,highway,6,5.64063748201439
car,1.9828391,200,L6,F,1757.669,10.3,3.14,32.9,N,31,61,highway,4,5.64063748201439
car,1.9828391,200,M6,F,1700.97,10.3,3.09,39.7,N,31,61,highway,4,5.64063748201439
car,2.3597424,150,L4,F,1644.271,10.5,2.69,34.7,Y,31,61,highway,4,5.65419670673077
car,2.294194,153,L5,F,1474.174,9.7,3.86,37.5,N,31,61,highway,4,5.65419670673077
car,2.294194,160,L5,F,1474.174,9.7,3.86,37.5,N,31,61,highway,4,5.65419670673077
car,1.9828391,200,AV,F,1757.669,10.5,5.3,28.3,N,31,61,highway,4,5.65419670673077
car,1.9828391,130,L4,F,1417.475,10,3.73,38.9,Y,1,61,highway,4,5.66782127710843
car,1.9828391,130,L4,F,1417.475,10,3.73,38.9,Y,1,61,highway,4,5.66782127710843
car,3.5068394,224,L4,F,1644.271,9.8,3.05,28.9,N,32,61,highway,6,5.66782127710843
car,1.9828391,200,M6,F,1644.271,10.3,3.09,40.4,N,31,61,highway,4,5.66782127710843
car,2.1958714,145,L4,F,1417.475,10,3.63,35.5,N,32,23,highway,4,5.6952683535109
car,1.6059358,168,M6,F,1417.475,8.3,2.87,44.4,Y,31,61,highway,4,5.6952683535109
car,1.802581,143,M5,F,1530.873,10.5,3.34,42.9,Y,31,61,highway,4,5.70909182038835
truck,2.294194,133,AV,F,1757.669,12.3,3.73,31.2,Y,31,61,city,4,5.72298255474453
car,2.3761295,171,L4,F,1474.174,10.4,3.91,36.7,N,32,61,highway,4,5.72298255474453
truck,2.3761295,170,L4,F,1700.97,10.4,3.63,30.7,N,31,61,highway,4,5.72298255474453
car,1.9828391,200,M6,F,1644.271,10.3,3.09,39.7,N,31,61,highway,4,5.72298255474453
car,1.9828391,136,L4,F,1417.475,10,3.73,39.1,Y,1,61,highway,4,5.750967799511
car,1.9828391,136,L4,F,1417.475,10,3.73,39.1,Y,1,61,highway,4,5.750967799511
car,1.9828391,200,M6,F,1530.873,10.3,3.09,40.4,N,31,61,highway,4,5.750967799511
car,2.294194,151,M5,F,1360.776,9.7,3.82,42.3,Y,31,61,highway,4,5.76506330882353
car,2.294194,160,M5,F,1587.572,9.7,4.39,44.9,N,31,61,highway,4,5.76506330882353
car,2.4744521,150,L6,F,1474.174,9.5,3.5,32.7,N,31,61,highway,5,5.76506330882353
car,2.4744521,150,L6,F,1474.174,9.5,3.5,32.7,N,1,61,highway,5,5.76506330882353
car,1.9828391,200,M6,F,1700.97,10.3,3.09,40.4,N,31,61,highway,4,5.76506330882353
car,1.9828391,200,L6,F,1587.572,10.3,3.14,40.7,N,31,61,highway,4,5.76506330882353
car,1.9828391,200,AV,F,1927.766,10.5,5.3,28.3,N,31,61,highway,4,5.76506330882353
car,1.6059358,168,S6,F,1474.174,8.3,3.68,35,Y,31,61,highway,4,5.77922808353808
car,2.4908392,204,L6,R,1757.669,12,3.91,30.3,N,31,61,highway,6,5.77922808353808
car,1.9828391,200,L6,F,1644.271,10.3,3.14,40.7,N,1,61,highway,4,5.77922808353808
car,1.802581,143,M5,F,1530.873,10.5,3.34,42.9,Y,31,61,highway,4,5.79346263546798
truck,2.1958714,145,M5,F,1530.873,10,4.17,39.5,N,32,61,highway,4,5.80776748148148
car,1.9992262,197,M6,F,1474.174,11,4.76,44,N,1,61,highway,4,5.80776748148148
car,2.6874844,245,M5,R,1474.174,11.1,3.75,41.5,N,1,61,highway,6,5.82214314356436
car,2.294194,160,M5,F,1587.572,9.7,4.39,44.9,Y,31,61,highway,4,5.83659014888338
car,2.294194,160,M5,F,1587.572,9.7,4.39,44.9,Y,31,61,highway,4,5.83659014888338
car,2.294194,153,L5,F,1587.572,9.7,3.86,36.3,N,31,61,highway,4,5.83659014888338
car,2.294194,160,L5,F,1587.572,9.7,3.86,36.3,N,31,61,highway,4,5.83659014888338
car,2.294194,160,M5,F,1587.572,9.7,4.39,45.1,N,31,61,highway,4,5.83659014888338
car,2.294194,160,L5,F,1644.271,9.7,3.86,35.9,Y,1,61,highway,4,5.85110902985075
car,2.294194,160,L5,F,1644.271,9.7,3.86,35.9,Y,1,61,highway,4,5.85110902985075
car,2.1958714,148,L4,F,1474.174,10,3.63,34.4,N,32,23,highway,4,5.85110902985075
car,1.9992262,120,L4,F,1417.475,9.5,4.04,44.2,N,1,23,highway,4,5.85110902985075
car,2.3597424,161,L4,F,1474.174,9.8,2.74,39.2,N,31,61,highway,4,5.85110902985075
car,1.802581,143,M5,F,1530.873,10.5,3.34,42.9,Y,31,61,highway,4,5.86570032418953
car,2.294194,160,L5,F,1644.271,9.7,3.86,35.9,Y,1,61,highway,4,5.880364575
car,2.294194,160,L5,F,1644.271,9.7,3.86,35.9,Y,1,61,highway,4,5.880364575
truck,2.294194,133,AV,F,1757.669,12.3,3.73,31.2,Y,31,61,highway,4,5.880364575
car,3.5068394,210,L4,F,1644.271,9.8,2.86,25.9,N,32,61,highway,6,5.880364575
car,3.5068394,210,L4,F,1644.271,9.8,2.86,25.9,N,32,61,highway,6,5.880364575
car,2.294194,153,L5,F,1474.174,9.7,3.86,37.2,N,31,61,highway,4,5.89510233082707
car,2.294194,160,L5,F,1474.174,9.7,3.86,37.2,N,31,61,highway,4,5.89510233082707
car,2.294194,160,L5,F,1644.271,9.7,3.86,36.1,Y,31,61,highway,4,5.90991414572864
car,2.294194,160,L5,F,1644.271,9.7,3.86,36.1,Y,31,61,highway,4,5.90991414572864
car,3.5068394,210,L4,F,1757.669,9.8,2.86,25.9,N,32,61,highway,6,5.90991414572864
car,3.5068394,210,L4,F,1757.669,9.8,2.86,25.9,N,32,61,highway,6,5.90991414572864
car,2.6874844,245,M6,R,1474.174,11.1,3.88,40.8,N,1,61,highway,6,5.90991414572864
car,3.4576781,268,L6,F,1757.669,10.8,3.69,30,N,31,61,highway,6,5.90991414572864
car,2.4744521,150,M5,F,1474.174,9.5,3.65,42.5,N,31,61,highway,5,5.90991414572864
car,2.4744521,150,L6,F,1587.572,9.5,3.5,32.7,N,31,61,highway,5,5.90991414572864
car,2.4744521,150,M5,F,1587.572,9.5,3.65,42.5,N,31,61,highway,5,5.90991414572864
car,3.5068394,210,L4,F,1757.669,9.8,2.86,25.9,N,32,61,highway,6,5.92480057934509
car,3.5068394,210,L4,F,1757.669,9.8,2.86,25.9,N,32,61,highway,6,5.92480057934509
car,1.6059358,168,S6,F,1474.174,8.3,3.68,35,Y,31,61,highway,4,5.92480057934509
car,2.3597424,205,S5,F,1644.271,10.5,4.44,34.5,N,31,61,highway,4,5.92480057934509
car,2.294194,155,M5,F,1360.776,9.3,3.74,40.4,Y,31,23,highway,4,5.92480057934509
car,2.4744521,150,L6,F,1587.572,9.5,3.5,32.7,N,1,61,highway,5,5.92480057934509
car,3.1299361,255,AV,F,1757.669,12.5,5.08,28.2,N,31,61,highway,6,5.92480057934509
car,2.294194,155,M5,F,1360.776,9.3,3.74,40.3,Y,31,23,highway,4,5.9397621969697
car,3.4576781,268,L5,F,1757.669,10.8,3.08,31.1,N,31,61,highway,6,5.9397621969697
car,1.9992262,260,M5,R,1530.873,9.2,3.73,35.4,N,31,61,highway,4,5.95479956962025
car,2.294194,155,L4,F,1360.776,9.3,2.61,38.8,Y,31,23,highway,4,5.95479956962025
car,2.294194,155,L4,F,1360.776,9.3,2.61,38.9,Y,31,23,highway,4,5.95479956962025
truck,2.3761295,171,M5,F,1587.572,10,4.17,39.1,N,32,61,highway,4,5.96991327411168
car,2.294194,153,L5,F,1474.174,9.7,3.86,37.2,N,31,61,highway,4,5.96991327411168
car,2.294194,160,L5,F,1474.174,9.7,3.86,37.2,N,31,61,highway,4,5.96991327411168
car,2.294194,153,L5,F,1587.572,9.7,3.86,36.4,N,31,61,highway,4,5.96991327411168
car,2.294194,160,L5,F,1587.572,9.7,3.86,36.4,N,31,61,highway,4,5.96991327411168
car,1.9828391,200,M6,4,1814.368,10.5,3.89,37.3,N,1,61,highway,4,5.96991327411168
car,2.4744521,150,L6,F,1587.572,9.5,3.5,32.7,N,31,61,highway,5,5.98510389312977
car,2.4416779,168,L5,F,1644.271,10.3,2.44,34.6,N,31,23,highway,5,5.98510389312977
car,2.3597424,165,M5,F,1530.873,10.5,3.34,42.4,Y,32,61,highway,4,6.00037201530612
car,1.9828391,138,M5,F,1530.873,10.1,4.06,48,N,31,61,highway,4,6.00037201530612
car,2.4744521,150,M5,F,1474.174,9.5,3.65,42.5,N,31,61,highway,5,6.00037201530612
car,1.9828391,200,L6,F,1700.97,10.5,3.2,32.7,N,31,61,highway,4,6.00037201530612
car,1.9828391,200,L6,F,1757.669,10.5,3.2,32.7,N,31,61,highway,4,6.00037201530612
car,1.9992262,126,A4,F,1417.475,10.8,3.85,41.5,Y,33,23,highway,4,6.00037201530612
car,1.6059358,168,M6,F,1417.475,8.3,2.87,44.6,Y,31,61,highway,4,6.01571823529412
car,2.6547102,185,L5,F,1644.271,10.4,3.31,33.2,N,1,61,highway,6,6.01571823529412
car,2.4744521,150,L6,F,1530.873,9.5,3.5,32.7,N,1,61,highway,5,6.01571823529412
car,2.4416779,165,L5,F,1644.271,10.3,2.44,34.6,N,31,23,highway,5,6.01571823529412
car,1.9828391,200,M6,F,1644.271,10.3,3.09,40.4,N,31,61,highway,4,6.01571823529412
car,1.9828391,200,L6,F,1700.97,10.3,3.14,40.7,N,31,61,highway,4,6.01571823529412
car,1.9992262,126,M5,F,1360.776,10.8,3.55,46.3,Y,33,23,highway,4,6.01571823529412
car,1.9992262,210,S5,F,1700.97,9.5,2.44,33.1,N,32,61,highway,4,6.03114315384615
car,1.9992262,210,M6,F,1644.271,9.5,3.55,38.5,N,31,6,highway,4,6.03114315384615
car,1.9828391,138,L4,F,1530.873,10.1,4.41,44.4,N,31,61,highway,4,6.03114315384615
car,1.9992262,166,L6,R,1304.077,10.8,4.1,34.5,N,31,61,highway,4,6.03114315384615
car,1.9992262,166,L6,R,1304.077,10.8,4.1,34.2,N,31,61,highway,4,6.03114315384615
car,1.9828391,200,L6,4,1927.766,10.5,3.54,34,N,1,61,highway,4,6.03114315384615
car,2.458065,175,S4,4,1644.271,10,4.11,39.8,N,31,61,highway,4,6.03114315384615
car,3.7854201,200,L4,F,1700.97,9.4,3.05,27.6,N,32,23,highway,6,6.04664737789203
car,1.9992262,200,M5,F,1474.174,9.5,4.05,39.4,N,31,61,highway,4,6.04664737789203
truck,2.3761295,172,L4,F,1587.572,10.4,3.91,36.1,N,32,61,highway,4,6.04664737789203
car,2.4744521,150,M5,F,1587.572,9.5,3.65,42.5,N,31,61,highway,5,6.04664737789203
car,2.4744521,150,L6,F,1644.271,9.5,3.5,32.7,N,1,61,highway,5,6.06223152061856
car,2.4744521,150,L6,F,1644.271,9.5,3.5,32.7,N,1,61,highway,5,6.06223152061856
car,2.4744521,150,L6,F,1530.873,9.5,3.5,32.7,N,31,61,highway,5,6.06223152061856
car,2.5236134,218,L5,F,1644.271,9,2.27,32.2,N,31,23,highway,5,6.06223152061856
car,2.294194,260,M5,F,1757.669,9.3,4.05,36.6,N,32,6,highway,4,6.07789620155039
car,2.3761295,162,M5,F,1644.271,9.5,4.31,44.4,N,31,61,highway,4,6.07789620155039
car,2.294194,153,L5,F,1644.271,9.7,3.86,36.4,N,31,61,highway,4,6.07789620155039
car,2.294194,160,L5,F,1644.271,9.7,3.86,36.4,N,31,61,highway,4,6.07789620155039
car,1.9992262,166,L6,R,1304.077,10.8,4.1,34.2,N,31,61,highway,4,6.07789620155039
car,1.9992262,170,M6,R,1247.378,10.8,4.1,48.9,N,31,61,highway,4,6.07789620155039
car,2.4744521,150,L6,F,1587.572,9.5,3.5,32.7,N,1,61,highway,5,6.07789620155039
car,2.294194,143,M5,F,1417.475,10.5,4.41,48.5,Y,31,61,highway,4,6.09364204663212
car,2.4744521,150,L6,F,1644.271,9.5,3.5,32.7,N,1,61,highway,5,6.09364204663212
car,2.4744521,150,M5,F,1587.572,9.5,3.65,42.5,N,31,61,highway,5,6.09364204663212
car,2.4744521,150,M5,F,1587.572,9.5,3.65,42.5,N,31,61,highway,5,6.09364204663212
car,2.4744521,150,M5,F,1530.873,9.5,3.65,42.5,N,31,61,highway,5,6.09364204663212
car,2.5236134,208,L5,F,1700.97,9,2.27,31.6,N,31,23,highway,5,6.09364204663212
truck,2.1958714,143,L4,F,1587.572,10.4,3.91,36.5,N,32,61,highway,4,6.10946968831169
car,2.9988393,244,L5,F,1644.271,10,4.43,31.6,N,31,61,highway,6,6.10946968831169
car,2.3597424,205,M6,F,1644.271,10.5,4.76,43.1,N,31,61,highway,4,6.10946968831169
car,1.9992262,170,M6,R,1247.378,10.8,4.1,48.9,N,31,61,highway,4,6.10946968831169
car,1.9992262,166,S6,R,1304.077,10.8,4.1,34.5,N,31,61,highway,4,6.10946968831169
car,2.458065,175,M5,4,1644.271,10,3.9,42.4,N,31,61,highway,4,6.10946968831169
car,2.3761295,162,M5,F,1644.271,9.5,4.31,44.4,N,31,23,highway,4,6.125379765625
car,2.3761295,155,L4,F,1700.97,9.5,4.21,38.8,N,1,23,highway,4,6.125379765625
car,2.7366457,190,L4,F,1700.97,9.7,2.69,34.2,Y,31,61,highway,6,6.14137292428198
car,3.7854201,200,L4,F,1757.669,9.4,3.05,27.6,N,32,23,highway,6,6.14137292428198
car,3.4576781,272,L6,F,1814.368,10.8,3.69,29.9,N,1,23,highway,6,6.14137292428198
car,1.9992262,126,A4,F,1474.174,10.8,3.85,41.5,Y,33,23,highway,4,6.14137292428198
car,1.9992262,126,M5,F,1417.475,10.8,3.55,46.3,Y,33,23,highway,4,6.14137292428198
truck,2.3597424,165,M5,F,1530.873,10.5,2.41,42.9,Y,32,61,highway,4,6.15744981675393
car,2.9988393,244,M6,F,1644.271,10,3.29,34.8,N,31,61,highway,6,6.15744981675393
car,3.3429684,237,L5,F,1757.669,10.4,3.33,32.9,N,1,61,highway,6,6.15744981675393
car,1.9992262,166,S6,R,1304.077,10.8,4.1,34.2,N,31,61,highway,4,6.15744981675393
car,2.3597424,161,M5,F,1474.174,9.8,4.24,46.1,N,31,61,highway,4,6.15744981675393
car,1.9828391,200,L6,4,1814.368,10.5,3.54,34,N,1,61,highway,4,6.15744981675393
car,1.9992262,210,S5,F,1814.368,9.5,2.44,33.1,N,32,61,highway,4,6.1736111023622
car,2.9988393,244,L5,F,1644.271,10,4.43,31.6,N,31,61,highway,6,6.1736111023622
truck,2.3597424,166,L5,F,1700.97,9.7,4.5,31.5,N,31,61,highway,4,6.1736111023622
car,2.4744521,150,M5,F,1530.873,9.5,3.65,42.5,N,31,61,highway,5,6.1736111023622
car,1.9992262,172,AV,F,1530.873,10.5,2.41,31,Y,31,61,highway,4,6.18985744736842
car,2.3761295,160,L4,F,1700.97,9.5,4.21,38.8,N,1,61,highway,4,6.18985744736842
car,1.9992262,170,M5,R,1247.378,10.8,4.1,48.3,N,31,61,highway,4,6.18985744736842
car,1.9992262,166,S6,R,1304.077,10.8,4.1,34.2,N,31,61,highway,4,6.18985744736842
car,1.4912261,106,M5,F,1190.679,10.5,3.72,44.9,N,32,23,city,4,6.18985744736842
car,2.458065,175,M5,4,1644.271,10,3.9,42.4,N,31,61,highway,4,6.18985744736842
car,2.458065,175,S4,4,1644.271,10,4.11,39.8,N,31,61,highway,4,6.18985744736842
truck,2.3597424,166,L4,F,1700.97,9.8,2.92,36.8,N,32,61,highway,4,6.20618952506596
truck,2.3597424,166,L4,F,1700.97,9.8,2.92,36.8,N,32,61,highway,4,6.20618952506596
car,2.5236134,218,M6,F,1644.271,9,3.77,34.1,N,31,23,highway,5,6.20618952506596
car,2.458065,175,S4,4,1644.271,10,4.11,39.8,N,31,61,highway,4,6.20618952506596
truck,2.3597424,166,L5,F,1700.97,9.7,4.5,31.5,N,31,61,highway,4,6.22260801587302
car,3.4904523,265,M6,F,1644.271,10.3,4.13,34.5,N,31,61,highway,6,6.22260801587302
car,1.4912261,106,M5,F,1190.679,10.5,3.72,46,N,32,61,city,4,6.22260801587302
car,3.3101942,210,L5,F,1757.669,10.8,3.29,33.3,N,31,61,highway,6,6.22260801587302
car,3.4740652,286,M6,F,1757.669,11,3.89,33.4,N,31,61,highway,6,6.23911360742706
car,1.4912261,106,L4,F,1190.679,10.5,4.24,44,N,32,61,city,4,6.23911360742706
car,2.5236134,218,M6,F,1814.368,9,3.77,33.5,N,31,23,highway,5,6.23911360742706
car,1.802581,190,M6,R,1077.281,11.5,4.53,51,Y,1,61,highway,4,6.25570699468085
car,3.4576781,303,L6,R,1814.368,11.8,3.77,29.7,N,31,61,highway,6,6.25570699468085
truck,2.294194,153,M5,F,1587.572,9.7,4.13,40.3,Y,31,61,highway,4,6.27238888
car,1.4912261,106,M5,F,1190.679,10.5,3.72,44.9,N,1,23,city,4,6.27238888
car,2.4416779,168,M5,F,1587.572,10.3,4.25,41.4,N,31,23,highway,5,6.27238888
car,2.4416779,168,L5,F,1757.669,10.3,2.44,34.6,N,31,23,highway,5,6.27238888
truck,2.3597424,165,M5,4,1644.271,10.5,2.41,30.6,Y,31,61,highway,4,6.28915997326203
